year,strip_group,location,strip,event_id,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,avg_flow_gph_strip,bottom_zone_storage_gal_0_18in,middle_zone_storage_gal_0_18in,top_zone_storage_gal_0_18in,n_zones_with_valid_storage,complete_three_zone_coverage,n_zones_with_storage,estimated_storage_gal_strip_0_18in,water_balance_residual_gal_strip,storage_exceeds_applied_water,unretained_gal_strip,estimated_storage_fraction_0_18in,unretained_fraction,whole_strip_storage_estimate_available,event_qc_eligible,event_qc_reason,bottom_6in_arrival_time,bottom_6in_arrival_delay_hr,bottom_6in_response_observed,bottom_6in_arrival_before_irrigation_end,bottom_6in_arrival_after_irrigation_end,post_bottom_6in_arrival_runtime_hr,post_bottom_6in_arrival_applied_gal,post_bottom_6in_arrival_applied_fraction,holding_capacity_eligible,holding_capacity_reason,unretained_eligible,unretained_reason,unretained_available,end_of_field_unretained_eligible,end_of_field_unretained_reason,estimated_end_of_field_unretained_gal_strip,estimated_end_of_field_unretained_fraction,estimated_storage_percent,unretained_percent
2023.00,S1_S2,west,S1,2023-05-23_S1_S2_176caf9a,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.00,3.90,18589.74,,12678.00,17940.05,2.00,False,2.00,,,False,,,,False,False,bottom_response_too_early; unexplained_pre_start_response,,,False,False,False,,,,False,bottom_response_too_early; unexplained_pre_start_response,False,bottom_response_too_early; unexplained_pre_start_response,False,False,bottom_response_too_early; unexplained_pre_start_response,,,,
2023.00,S1_S2,west,S1,2023-06-01_S1_S2_5b27ce31,2023-06-01 11:16:08,2023-06-01 18:45:00,33650.00,7.48,4497.99,,3510.87,3716.32,2.00,False,2.00,,,False,,,,False,True,ok,,,False,False,False,,,,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2023.00,S1_S2,west,S1,2023-06-26_S1_S2_69e5d9b6,2023-06-26 09:31:00,2023-06-26 16:02:00,44700.00,6.52,6859.34,,10506.18,13499.95,2.00,False,2.00,,,False,,,,False,True,ok,,,False,False,False,,,,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2023.00,S1_S2,west,S1,2023-07-17_S1_S2_ae0a89b4,2023-07-17 08:04:00,2023-07-17 16:04:00,60450.00,8.00,7556.25,,13008.68,16428.22,2.00,False,2.00,,,False,,,,False,True,ok,,,False,False,False,,,,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2023.00,S1_S2,west,S1,2023-08-05_S1_S2_efaa9d14,2023-08-05 08:48:00,2023-08-05 14:56:00,49250.00,6.13,8029.89,,9244.00,15024.46,2.00,False,2.00,,,False,,,,False,True,ok,,,False,False,False,,,,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2023.00,S1_S2,west,S1,2023-08-24_S1_S2_6cc99259,2023-08-24 13:47:00,2023-08-24 18:16:00,30125.00,4.48,6719.33,,9002.33,14953.09,2.00,False,2.00,,,False,,,,False,True,ok,,,False,False,False,,,,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2023.00,S1_S2,west,S1,2023-09-21_S1_S2_6dbb0789,2023-09-21 09:07:00,2023-09-21 16:09:00,37650.00,7.03,5353.08,,10648.08,15303.40,2.00,False,2.00,,,False,,,,False,True,ok,,,False,False,False,,,,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2023.00,S1_S2,west,S2,2023-05-23_S1_S2_176caf9a,2023-05-23 15:25:00,2023-05-23 19:19:00,72500.00,3.90,18589.74,16053.17,16101.01,,2.00,False,2.00,,,False,,,,False,False,unexplained_pre_start_response,2023-05-23 16:15:00,0.83,True,True,False,3.07,57008.55,0.79,False,unexplained_pre_start_response,False,unexplained_pre_start_response,False,False,unexplained_pre_start_response,,,,
2023.00,S1_S2,west,S2,2023-06-01_S1_S2_5b27ce31,2023-06-01 11:16:08,2023-06-01 18:45:00,33650.00,7.48,4497.99,4766.07,4278.42,,2.00,False,2.00,,,False,,,,False,True,ok,2023-06-01 16:30:00,5.23,True,True,False,2.25,10120.44,0.30,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2023.00,S1_S2,west,S2,2023-06-26_S1_S2_69e5d9b6,2023-06-26 09:31:00,2023-06-26 16:02:00,44700.00,6.52,6859.34,14523.22,14658.96,12822.22,3.00,True,3.00,42004.40,2695.60,False,2695.60,0.94,0.06,True,True,ok,2023-06-26 11:15:00,1.73,True,True,False,4.78,32810.71,0.73,True,ok,True,ok,True,True,ok,2695.60,0.06,93.97,6.03
2023.00,S1_S2,west,S2,2023-07-17_S1_S2_ae0a89b4,2023-07-17 08:04:00,2023-07-17 16:04:00,60450.00,8.00,7556.25,16979.15,14768.60,13914.97,3.00,True,3.00,45662.72,14787.28,False,14787.28,0.76,0.24,True,True,ok,2023-07-17 09:30:00,1.43,True,True,False,6.57,49619.38,0.82,True,ok,True,ok,True,True,ok,14787.28,0.24,75.54,24.46
2023.00,S1_S2,west,S2,2023-08-05_S1_S2_efaa9d14,2023-08-05 08:48:00,2023-08-05 14:56:00,49250.00,6.13,8029.89,11913.24,12245.98,11433.89,3.00,True,3.00,35593.10,13656.90,False,13656.90,0.72,0.28,True,False,unexplained_pre_start_response,2023-08-05 09:15:00,0.45,True,True,False,5.68,45636.28,0.93,False,unexplained_pre_start_response,False,unexplained_pre_start_response,False,False,unexplained_pre_start_response,,,72.27,27.73
2023.00,S1_S2,west,S2,2023-08-24_S1_S2_6cc99259,2023-08-24 13:47:00,2023-08-24 18:16:00,30125.00,4.48,6719.33,11532.35,9311.20,11581.68,3.00,True,3.00,32425.22,-2300.22,True,0.00,1.08,0.00,True,True,ok,2023-08-24 14:15:00,0.47,True,True,False,4.02,26989.09,0.90,True,ok,True,ok,True,True,ok,0.00,0.00,107.64,0.00
2023.00,S1_S2,west,S2,2023-09-21_S1_S2_6dbb0789,2023-09-21 09:07:00,2023-09-21 16:09:00,37650.00,7.03,5353.08,13586.56,11764.57,12153.22,3.00,True,3.00,37504.35,145.65,False,145.65,1.00,0.00,True,True,ok,2023-09-21 10:15:00,1.13,True,True,False,5.90,31583.00,0.84,True,ok,True,ok,True,True,ok,145.65,0.00,99.61,0.39
2023.00,S3_S4,east,S3,2023-05-24_S3_S4_31cada45,2023-05-24 09:25:00,2023-05-24 13:19:00,73300.00,3.90,18794.87,8130.10,,,1.00,False,1.00,,,False,,,,False,True,ok,2023-05-24 13:15:00,3.83,True,True,False,0.07,1252.99,0.02,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2023.00,S3_S4,east,S3,2023-06-02_S3_S4_e824e1bc,2023-06-02 15:43:00,2023-06-02 22:12:00,33750.00,6.48,5205.66,6879.78,,,1.00,False,1.00,,,False,,,,False,True,ok,2023-06-02 18:30:00,2.78,True,True,False,3.70,19260.75,0.57,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2023.00,S3_S4,east,S3,2023-06-14_S3_S4_71ac748b,2023-06-14 08:25:00,2023-06-14 17:29:00,64100.00,9.07,7069.85,8756.72,,7351.74,2.00,False,2.00,,,False,,,,False,True,ok,2023-06-14 10:45:00,2.33,True,True,False,6.73,47603.91,0.74,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2023.00,S3_S4,east,S3,2023-06-27_S3_S4_87f629e2,2023-06-27 07:53:00,2023-06-27 16:14:00,67850.00,8.35,8125.75,9071.06,,9489.25,2.00,False,2.00,,,False,,,,False,True,ok,2023-06-27 10:00:00,2.12,True,True,False,6.23,50650.50,0.75,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2023.00,S3_S4,east,S3,2023-07-07_S3_S4_bf19b251,2023-07-07 07:46:00,2023-07-07 15:46:00,64250.00,8.00,8031.25,9790.10,,8352.27,2.00,False,2.00,,,False,,,,False,True,ok,2023-07-07 10:00:00,2.23,True,True,False,5.77,46313.54,0.72,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2023.00,S3_S4,east,S3,2023-07-17_S3_S4_a04fe807,2023-07-17 19:19:00,2023-07-18 05:53:00,80450.00,10.57,7613.56,11055.01,9307.54,10513.16,3.00,True,3.00,30875.71,49574.29,False,49574.29,0.38,0.62,True,True,ok,2023-07-17 21:30:00,2.18,True,True,False,8.38,63827.30,0.79,True,ok,True,ok,True,True,ok,49574.29,0.62,38.38,61.62
2023.00,S3_S4,east,S3,2023-07-27_S3_S4_89a0fecc,2023-07-27 10:00:00,2023-07-27 17:29:00,25200.00,7.48,3367.48,8255.41,,8941.79,2.00,False,2.00,,,False,,,,False,True,ok,2023-07-27 13:15:00,3.25,True,True,False,4.23,14255.57,0.57,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2023.00,S3_S4,east,S3,2023-08-05_S3_S4_0f92146d,2023-08-05 08:51:00,2023-08-05 11:03:00,18300.00,2.20,8318.18,3808.46,,6039.18,2.00,False,2.00,,,False,,,,False,True,ok,2023-08-05 11:00:00,2.15,True,True,False,0.05,415.91,0.02,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
