year,strip_group,location,strip,event_id,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,avg_flow_gph_strip,bottom_zone_storage_gal_0_18in,middle_zone_storage_gal_0_18in,top_zone_storage_gal_0_18in,n_zones_with_valid_storage,complete_three_zone_coverage,n_zones_with_storage,estimated_storage_gal_strip_0_18in,water_balance_residual_gal_strip,storage_exceeds_applied_water,water_not_stored_0_18in_gal_strip,estimated_storage_fraction_0_18in,water_not_stored_0_18in_fraction,whole_strip_storage_estimate_available,bottom_6in_arrival_time,bottom_6in_arrival_delay_hr,bottom_6in_response_observed,bottom_6in_arrival_before_irrigation_end,bottom_6in_arrival_after_irrigation_end,post_bottom_6in_arrival_runtime_hr,post_bottom_6in_arrival_applied_gal,post_bottom_6in_arrival_applied_fraction,potential_surface_runoff_gal,potential_surface_runoff_fraction,potential_surface_runoff_available,estimated_storage_percent,potential_surface_runoff_percent
2024.00,S1_S2,west,S1,2024-04-20_S1_S2_5f2fb725,2024-04-20 10:11:00,2024-04-20 17:54:00,62950.00,7.72,8157.67,14012.12,10527.31,14192.63,3.00,True,3.00,38732.06,24217.94,False,24217.94,0.62,0.38,True,2024-04-20 18:45:00,8.57,True,False,True,0.00,0.00,0.00,24217.94,0.38,True,61.53,38.47
2024.00,S1_S2,west,S1,2024-06-01_S1_S2_ef46e32f,2024-06-01 18:05:00,2024-06-02 07:46:00,81250.00,13.68,5937.88,6687.30,9694.92,13704.41,3.00,True,3.00,30086.63,51163.37,False,51163.37,0.37,0.63,True,2024-06-01 22:30:00,4.42,True,True,False,9.27,55024.16,0.68,51163.37,0.63,True,37.03,62.97
2024.00,S1_S2,west,S1,2024-06-22_S1_S2_e95bd875,2024-06-22 08:00:00,2024-06-22 15:49:00,47100.00,7.82,6025.59,9150.94,9209.75,12404.24,3.00,True,3.00,30764.93,16335.07,False,16335.07,0.65,0.35,True,2024-06-22 12:30:00,4.50,True,True,False,3.32,19985.06,0.42,16335.07,0.35,True,65.32,34.68
2024.00,S1_S2,west,S1,2024-07-20_S1_S2_6d735351,2024-07-20 08:54:00,2024-07-20 17:43:00,55550.00,8.82,6300.57,13419.33,11613.70,14022.78,3.00,True,3.00,39055.82,16494.18,False,16494.18,0.70,0.30,True,2024-07-20 15:30:00,6.60,True,True,False,2.22,13966.47,0.25,16494.18,0.30,True,70.31,29.69
2024.00,S1_S2,west,S1,2024-08-10_S1_S2_de427086,2024-08-10 08:50:00,2024-08-10 20:38:00,84700.00,11.80,7177.97,,10039.30,11562.82,2.00,False,2.00,,,False,,,,False,2024-08-10 17:00:00,8.17,True,True,False,3.63,26079.94,0.31,,,False,,
2024.00,S1_S2,west,S1,2024-09-07_S1_S2_b15b9a0a,2024-09-07 08:23:00,2024-09-07 16:16:00,53000.00,7.88,6723.04,9415.06,8040.58,9814.03,3.00,True,3.00,27269.66,25730.34,False,25730.34,0.51,0.49,True,2024-09-07 19:00:00,10.62,True,False,True,0.00,0.00,0.00,25730.34,0.49,True,51.45,48.55
2024.00,S1_S2,west,S2,2024-04-20_S1_S2_5f2fb725,2024-04-20 10:11:00,2024-04-20 17:54:00,62950.00,7.72,8157.67,12355.87,12886.46,9525.89,3.00,True,3.00,34768.22,28181.78,False,28181.78,0.55,0.45,True,2024-04-20 14:45:00,4.57,True,True,False,3.15,25696.92,0.41,28181.78,0.45,True,55.23,44.77
2024.00,S1_S2,west,S2,2024-06-01_S1_S2_ef46e32f,2024-06-01 18:05:00,2024-06-02 07:46:00,81250.00,13.68,5937.88,14843.32,15159.21,13713.30,3.00,True,3.00,43715.83,37534.17,False,37534.17,0.54,0.46,True,2024-06-01 23:00:00,4.92,True,True,False,8.77,52055.22,0.64,37534.17,0.46,True,53.80,46.20
2024.00,S1_S2,west,S2,2024-06-22_S1_S2_e95bd875,2024-06-22 08:00:00,2024-06-22 15:49:00,47100.00,7.82,6025.59,12552.44,11355.95,12238.30,3.00,True,3.00,36146.69,10953.31,False,10953.31,0.77,0.23,True,2024-06-22 13:45:00,5.75,True,True,False,2.07,12453.08,0.26,10953.31,0.23,True,76.74,23.26
2024.00,S1_S2,west,S2,2024-07-20_S1_S2_6d735351,2024-07-20 08:54:00,2024-07-20 17:43:00,55550.00,8.82,6300.57,14273.88,13463.80,,2.00,False,2.00,,,False,,,,False,2024-07-20 15:15:00,6.35,True,True,False,2.47,15541.61,0.28,,,False,,
2024.00,S1_S2,west,S2,2024-08-10_S1_S2_de427086,2024-08-10 08:50:00,2024-08-10 20:38:00,84700.00,11.80,7177.97,15342.68,12396.77,12722.40,3.00,True,3.00,40461.85,44238.15,False,44238.15,0.48,0.52,True,2024-08-10 13:45:00,4.92,True,True,False,6.88,49408.33,0.58,44238.15,0.52,True,47.77,52.23
2024.00,S1_S2,west,S2,2024-09-07_S1_S2_b15b9a0a,2024-09-07 08:23:00,2024-09-07 16:16:00,53000.00,7.88,6723.04,12096.01,8680.98,10246.01,3.00,True,3.00,31023.01,21976.99,False,21976.99,0.59,0.41,True,2024-09-07 13:45:00,5.37,True,True,False,2.52,16919.44,0.32,21976.99,0.41,True,58.53,41.47
2024.00,S3_S4,east,S3,2024-04-19_S3_S4_c5bf8374,2024-04-19 14:14:00,2024-04-19 21:33:00,54875.00,7.32,7500.00,8849.29,10273.82,10295.84,3.00,True,3.00,29418.95,25456.05,False,25456.05,0.54,0.46,True,2024-04-19 15:00:00,0.77,True,True,False,6.55,49125.25,0.90,25456.05,0.46,True,53.61,46.39
2024.00,S3_S4,east,S4,2024-04-19_S3_S4_c5bf8374,2024-04-19 14:14:00,2024-04-19 21:33:00,54875.00,7.32,7500.00,1163.67,9905.02,11155.22,3.00,True,3.00,22223.91,32651.09,False,32651.09,0.41,0.59,True,,,False,False,False,,,,,,False,40.50,
2024.00,S3_S4,west,S3,2024-05-03_S3_S4_13e4749a,2024-05-03 08:37:00,2024-05-03 15:28:00,44600.00,6.85,6510.95,4554.89,7801.69,7696.38,3.00,True,3.00,20052.96,24547.04,False,24547.04,0.45,0.55,True,2024-05-03 09:15:00,0.63,True,True,False,6.22,40476.40,0.91,24547.04,0.55,True,44.96,55.04
