year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,plot_start,plot_end,baseline_vwc,arrival_threshold_vwc,arrival_time,arrival_vwc,arrival_minutes_after_irrigation_start,arrival_before_irrigation_start,gallons_strip,event_duration_hours,alt_arrival_threshold_vwc,alt_arrival_time,alt_arrival_vwc,alt_arrival_step_vwc,alt_arrival_minutes_after_irrigation_start,alt_arrival_before_irrigation_start
2025,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_1_raw_S1_B,1,6,B,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-19 20:15:00,2025-04-21 14:15:00,19.777,0.25,2025-04-20 15:15:00,20.251,420.0,False,132300.0,22.217,0.5,2025-04-20 16:30:00,21.878,0.705,495.0,False
2025,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_2_raw_S1_B,2,12,B,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-19 20:15:00,2025-04-21 14:15:00,21.167,0.25,2025-04-20 16:15:00,21.626,480.0,False,132300.0,22.217,0.5,2025-04-20 17:15:00,23.524,0.779,540.0,False
2025,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_3_raw_S1_B,3,18,B,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-19 20:15:00,2025-04-21 14:15:00,19.753,0.25,2025-04-20 16:30:00,21.45,495.0,False,132300.0,22.217,0.5,2025-04-20 16:30:00,21.45,2.29,495.0,False
2025,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_1_raw_S1_M,1,6,M,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-19 20:15:00,2025-04-21 14:15:00,11.853,0.25,2025-04-20 13:30:00,12.144,315.0,False,132300.0,22.217,0.5,2025-04-20 14:00:00,16.161,3.69,345.0,False
2025,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_2_raw_S1_M,2,12,M,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-19 20:15:00,2025-04-21 14:15:00,16.677,0.25,2025-04-20 13:45:00,17.362,330.0,False,132300.0,22.217,0.5,2025-04-20 13:45:00,17.362,0.566,330.0,False
2025,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_3_raw_S1_M,3,18,M,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-19 20:15:00,2025-04-21 14:15:00,27.018,0.25,2025-04-20 15:15:00,27.322,420.0,False,132300.0,22.217,0.5,2025-04-20 15:30:00,32.773,5.451,435.0,False
2025,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_1_raw_S1_T,1,6,T,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-19 20:15:00,2025-04-21 14:15:00,17.124,0.25,2025-04-20 10:45:00,17.568,150.0,False,132300.0,22.217,0.5,2025-04-20 11:00:00,34.49,16.922,165.0,False
2025,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_2_raw_S1_T,2,12,T,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-19 20:15:00,2025-04-21 14:15:00,14.863,0.25,2025-04-20 11:00:00,30.588,165.0,False,132300.0,22.217,0.5,2025-04-20 11:00:00,30.588,15.776,165.0,False
2025,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_3_raw_S1_T,3,18,T,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-19 20:15:00,2025-04-21 14:15:00,17.343,0.25,2025-04-20 11:00:00,18.713,165.0,False,132300.0,22.217,0.5,2025-04-20 11:00:00,18.713,1.353,165.0,False
2025,S1_S2,west,S2,2025-04-20_S1_S2_f3457ada,VWC_1_raw_S2_B,1,6,B,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-19 20:15:00,2025-04-21 14:15:00,8.216,0.25,2025-04-20 14:45:00,8.867,390.0,False,132300.0,22.217,0.5,2025-04-20 15:00:00,13.744,4.877,405.0,False
